participant,conflict_name,years,participant_correction,participant_new
"""Beggars"" of the Netherlands","Insurrection of the ""Beggars"" in the Netherlands (Spain)",1566-1567,,"""Beggars"" of the Netherlands"
Abyssinia,War with Abyssinia (Italy),1895-1896,,Abyssinia
Afghanistan,War with Afghanistan (England),1838-1842,,Afghanistan
Afghans,War with Afghanistan (England),1878-1880,,Afghans
Annam,War with Annam (France),1857-1862,,Annam
Aragon,War with Aragon (France),1284-1291,,Aragon
Ashantis,Ashanti War (England),1874-1874,,Ashantis
Ashantis,Ashanti War (England),1863-1864,,Ashantis
Ashantis,Ashanti War (England),1895-1896,,Ashantis
Astrakhan,War with Astrakhan (Russia),1554-1554,,Astrakhan
Austria,War with Turkey and Hungary (Austria-Hungary),1521-1525,,Austria
Austria,Austrian-Sardinian War (Italy),1848-1849,,Austria
Austria,Austrian-Sardinian War (Italy),1701-1703,,Austria
Austria,War with Turkey and Hungary (Austria-Hungary),1526-1532,,Austria
Austria,War with Turkey and Hungary (Austria-Hungary),1532-1534,,Austria
Austria,War with Venice (Cambrian League) (Austria-Hungary),1508-1512,,Austria
Austria,Austrian-Sardinian War (Austria-Hungary),1859-1859,,Austria
Austria,Swiss-Austrian War (Austria-Hungary),1308-1318,,Austria
Austria,Swiss-Austrian War (Austria-Hungary),1386-1386,,Austria
Austria,Swiss-Austrian War (Austria-Hungary),1339-1339,,Austria
Austria,Bavarian-Austrian War (Austria-Hungary),1322-1322,,Austria
Austria,Second Russo-Austrian War with Turkey (Austria-Hungary),1788-1791,,Austria
Austria,Russo-Austro-Turkish War (Russia),1787-1791,,Austria
Austria,Russo-Austro-Turkish War (Russia),1736-1739,,Austria
Austria,Austrian-Prussian War (Germany),1866-1866,,Austria
Austria,The Templars with Poland and Lithuania (Austria-Hungary),1410-1410,,Austria
Austria,Austrian-Sardinian War (Italy),1696-1697,,Austria
Austria,Austrian-Prussian War (Austria-Hungary),1866-1866,,Austria
Austria,Austrian-Sardinian War (Austria-Hungary),1701-1703,,Austria
Austria,Russian-Austrian War with Turkey (Austria-Hungary),1736-1739,,Austria
Austria,Austro-Italian War (France),1859-1859,,Austria
Austria,Austrian-Venetian War (Austria-Hungary),1716-1718,,Austria
Austria,Austrian-Sardinian War (Austria-Hungary),1696-1697,,Austria
Austria-Hungary,War with Austria-Hungary (Italy),1866-1866,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1214-1214,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1809-1809,,Austria-Hungary
Austria-Hungary,War with Russia (Austria-Hungary),1812-1812,,Austria-Hungary
Austria-Hungary,War with Bethlen-Gabor (Austria-Hungary),1626-1627,,Austria-Hungary
Austria-Hungary,War with Naples (Austria-Hungary),1815-1815,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1537-1547,,Austria-Hungary
Austria-Hungary,Insurrection in Italy (Austria-Hungary),1821-1821,,Austria-Hungary
Austria-Hungary,Austrian-Sardinian War (Austria-Hungary),1848-1849,,Austria-Hungary
Austria-Hungary,Second War of Louis XIV (Austria-Hungary),1673-1675,,Austria-Hungary
Austria-Hungary,War with Egypt (Austria-Hungary),1840-1840,,Austria-Hungary
Austria-Hungary,Third War of Louis XIV (Austria-Hungary),1688-1697,,Austria-Hungary
Austria-Hungary,Second War of Louis XIV (Austria-Hungary),1676-1679,,Austria-Hungary
Austria-Hungary,Great Turkish War (Austria-Hungary),1683-1699,,Austria-Hungary
Austria-Hungary,War with Denmark (Austria-Hungary),1864-1864,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1601-1606,,Austria-Hungary
Austria-Hungary,War with Poland (Austria-Hungary),1587-1588,,Austria-Hungary
Austria-Hungary,War with Bethlen-Gabor (Austria-Hungary),1623-1625,,Austria-Hungary
Austria-Hungary,Insurrection in Bosnia and Herzegovina (Austria-Hungary),1878-1878,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1552-1556,,Austria-Hungary
Austria-Hungary,War with France (fourth war of Charles V) (Austria-Hungary),1542-1544,,Austria-Hungary
Austria-Hungary,War with France (third war of Charles V) (Austria-Hungary),1536-1538,,Austria-Hungary
Austria-Hungary,War with France (second war of Charles V) (Austria-Hungary),1527-1529,,Austria-Hungary
Austria-Hungary,Insurrection in Transylvania (Austria-Hungary),1784-1785,,Austria-Hungary
Austria-Hungary,War with France and Venice (First War of Charles V) (Austria-Hungary),1521-1525,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1551-1562,,Austria-Hungary
Austria-Hungary,War with Venice (Austria-Hungary),1513-1518,,Austria-Hungary
Austria-Hungary,War with Austria-Hungary (Italy),1859-1859,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1515-1515,,Austria-Hungary
Austria-Hungary,War with Holland (Scheldt) (Austria-Hungary),1784-1785,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1512-1514,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1512-1519,,Austria-Hungary
Austria-Hungary,War with France (Austria-Hungary),1495-1497,,Austria-Hungary
Austria-Hungary,War with Turkey   (Austria-Hungary),1454-1456,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1469-1475,,Austria-Hungary
Austria-Hungary,War with Turkey (Austria-Hungary),1565-1568,,Austria-Hungary
Austria-Hungary,War with the Turks in Hungary (Austria-Hungary),1576-1583,,Austria-Hungary
Bavaria,Bavarian-Austrian War (Austria-Hungary),1322-1322,,Bavaria
Belgium,War with Belgium (Holland),1830-1833,,Belgium
Bethlen-Gabor,War with Bethlen-Gabor (Austria-Hungary),1626-1627,,Bethlen-Gabor
Bethlen-Gabor,War with Bethlen-Gabor (Austria-Hungary),1623-1625,,Bethlen-Gabor
Bosnia & herzegovina,Insurrection in Bosnia and Herzegovina (Austria-Hungary),1878-1878,,Bosnia & herzegovina
Castile,War with Castile (France),1285-1285,,Castile
