participant,conflict_name,years,participant_correction,participant_new
"""Grand Alliance""",Spain vs Grand Alliance,1701-1714,,"""Grand Alliance"""
4 brothers,India: Civil War of 4 brothers,1657-1659,,4 brothers
Achinese,Indonesia: Achinese vs Netherlands,1873-1878,,Achinese
Afghanistan,UK vs Afghanistan,1838-1842,,Afghanistan
Afghanistan,India: Afghanistan captures Delhi,1758-1761,,Afghanistan
Afghanistan,Russia vs Afghanistan,1885-1885,,Afghanistan
Afghanistan,Pakistan: Baluchis vs Government; Afghanistan intervention,1973-1977,,Afghanistan
Afghanistan,Afghanistan: USSR intervenes in civil war,1978-1989,,Afghanistan
Afghanistan,Iran vs Afghanistan,1837-1838,,Afghanistan
Afghanistan,UK vs Afghanistan,1878-1880,,Afghanistan
Afghanistan,Afghanistan vs UK,1919-1919,,Afghanistan
Afghans (India),India: Afghans vs Moguls,1537-1539,,Afghans (India)
Albania,Albania in World War II,1941-1944,,Albania
Albania,Albanians vs Turkey,1830-1831,,Albania
Algeria,Algeria vs France,1871-1872,,Algeria
Algeria,Spain vs Algeria,1541-1541,,Algeria
Algeria,France intervention in Algerian civil war,1945-1945,,Algeria
Algeria,France intervention in Algerian civil war,1954-1962,,Algeria
Algeria,France vs Algeria,1839-1847,,Algeria
Algeria,Spain invade Algeria,1775-1775,,Algeria
Angola,Cuba & South Africa intervention in Angolan civil war,1975-1990,,Angola
Angola,"Angola Independence vs Portugal; USSR, South Africa intervention",1961-1975,,Angola
Annam (Vietnam),France vs Annam; China intervention,1882-1885,,Annam (Vietnam)
Annam (Vietnam),Chinese expedition to Annam (Vietnam),1788-1789,,Annam (Vietnam)
Anti-Reformers in Afghanistan,Afghanistan: Anti-Reformers vs Government,1928-1929,,Anti-Reformers in Afghanistan
Anti-Reformers in Afghanistan,"Afghanistan: Anti-Reformers vs Government, UK intervention",1924-1925,,Anti-Reformers in Afghanistan
Arab League, Arab League vs Israel,1948-1948,,Arab League
Arabs (Sudan),Sudan: Blacks vs Arabs,1869-1869,,Arabs (Sudan)
Arabs in Syria, Turkey vs Arabs in Syria,1820-1820,,Arabs in Syria
Arabs in Zaire,Zaire: Belgium vs Arabs,1892-1894,,Arabs in Zaire
Arabs of Tanzania,Tanzania: Arabs & Blacks vs Germany,1888-1893,,Arabs of Tanzania
Argentina,Paraguay vs Brazil & Argentina,1864-1870,,Argentina
Argentina,Falklands War,1982-1982,,Argentina
Argentina,Latin America Independence from Spain,1810-1825,,Argentina
Argentina Government,Montoneros vs Government in Argentina,1863-1863,,Argentina Government
Argentina Government,Province vs Government in Argentina,1870-1871,,Argentina Government
Argentina Government,Buenos Aires vs Government in Argentina,1874-1875,,Argentina Government
Argentina Government,"Liberals vs Government in Argentina, Brazil intervention",1851-1852,,Argentina Government
Argentina Government,Buenos Aires vs Government in Argentina,1880-1880,,Argentina Government
Argentina Government,"Liberals vs Government in Argentina, UK/France invasion",1841-1851,,Argentina Government
Argentina Government,Federalists vs Government in Argentina,1866-1867,,Argentina Government
Argentine Army,Armed Forces of Argentina vs Peron,1955-1955,,Argentine Army
Argentine Federalists,Federalists vs Government in Argentina,1866-1867,,Argentine Federalists
Argentine Liberals,"Liberals vs Government in Argentina, Brazil intervention",1851-1852,,Argentine Liberals
Argentine Liberals,"Liberals vs Government in Argentina, UK/France invasion",1841-1851,,Argentine Liberals
Argentine Montoneros,Montoneros vs Government in Argentina,1863-1863,,Argentine Montoneros
Argentine Province,Province vs Government in Argentina,1870-1871,,Argentine Province
Armenians,Armenians deported,1915-1916,,Armenians
Armenians,Massacres in Armenia,1909-1910,,Armenians
Armenians,Armenians vs Turkey,1894-1897,,Armenians
Army of Uganda,Uganda: Army vs people; massacres,1981-1987,,Army of Uganda
Ashantis (Ghana),UK conquered Ashantis in Ghana,1824-1825,,Ashantis (Ghana)
Ashantis (Ghana),Ashantis vs UK in Ghana,1873-1874,,Ashantis (Ghana)
Ashantis (Ghana),3rd Ashanti War vs UK in Ghana,1893-1894,,Ashantis (Ghana)
Asturian miners,Asturian miners vs Government in Spain,1934-1934,,Asturian miners
Augsberg League,France vs Augsberg League,1688-1697,,Augsberg League
Australia,World War II - Australia,1939-1945,,Australia
Australia,World War I - Australia,1914-1918,,Australia
Austria,Italian Liberals vs Two Sicilies; Austrian intervention,1845-1848,,Austria
Austria,Dutch Insurrection vs Austria,1789-1790,,Austria
Austria,Spain attacks Austria,1718-1720,,Austria
Austria,Austro-Sardinian War,1701-1703,,Austria
Austria,Hungarian Revolt vs Austria,1703-1711,,Austria
Austria,Turkey vs Austria & Poland,1682-1699,,Austria
Austria,Austria vs Turkey,1590-1596,,Austria
Austria,Austria vs Poles,1846-1846,,Austria
Austria,Austria involvement in WWII,1939-1945,,Austria
Austria,Prussia invades Austria,1778-1779,,Austria
Austria,Russia vs Turkey (Austria intervention),1787-1792,,Austria
Austria,Prussia & Italy vs Austria; France intervention,1866-1866,,Austria
Austria,"Mexican Liberals vs Government; UK, France, Spain, Austria intervention",1858-1861,,Austria
Austria,Prussia invades Austria,1739-1748,,Austria
Austria,Russia & Austria vs Turkey,1736-1739,,Austria
Austria,Austria vs Turkey,1716-1718,,Austria
Austria (Fascist Gov),Austrian Socialists vs Fascist Government,1934-1934,,Austria (Fascist Gov)
Austria (Liberals),Austrian Liberals vs Government,1848-1848,,Austria (Liberals)
Austria Government,Austrian Liberals vs Government,1848-1848,,Austria Government
Austria-Hungary,Austria-Hungary vs Turkey,1593-1606,,Austria-Hungary
Austria-Hungary,Serbia vs Bulgaria; Austria-Hungary intervention,1885-1885,,Austria-Hungary
Austria-Hungary,France vs Juarez (Mexico): Austria-Hungary intervention,1862-1867,,Austria-Hungary
Austria-Hungary,Sardinia vs Austria-Hungary,1848-1849,,Austria-Hungary
Austria-Hungary,Turkey vs Austria-Hungary,1520-1533,,Austria-Hungary
Austria-Hungary,Austria-Hungary vs Italy; France intervenes,1859-1859,,Austria-Hungary
Austria-Hungary,Austria-Hungary vs Turkey,1663-1664,,Austria-Hungary
Austria-Hungary,Prussia & Austria-Hungary vs Denmark,1864-1864,,Austria-Hungary
Austria-Hungary,Austria-Hungary vs Turkey,1537-1541,,Austria-Hungary
