location,date,vaccine,total_vaccinations
Argentina,2021-01-19,CanSino,1.0
Argentina,2021-01-31,CanSino,2.0
Argentina,2021-02-05,CanSino,4.0
Argentina,2021-03-21,CanSino,5.0
Argentina,2021-04-21,CanSino,6.0
Argentina,2021-04-22,CanSino,7.0
Argentina,2021-05-07,CanSino,8.0
Argentina,2021-06-02,CanSino,9.0
Argentina,2021-06-09,CanSino,11.0
Argentina,2021-06-25,CanSino,12.0
Argentina,2021-07-02,CanSino,13.0
Argentina,2021-07-20,CanSino,15.0
Argentina,2021-08-04,CanSino,17.0
Argentina,2021-08-06,CanSino,18.0
Argentina,2021-08-12,CanSino,19.0
Argentina,2021-09-07,CanSino,67.0
Argentina,2021-09-08,CanSino,107.0
Argentina,2021-09-09,CanSino,114.0
Argentina,2021-09-10,CanSino,118.0
Argentina,2021-09-11,CanSino,393.0
Argentina,2021-09-12,CanSino,766.0
Argentina,2021-09-13,CanSino,14924.0
Argentina,2021-09-14,CanSino,16124.0
Argentina,2021-09-15,CanSino,17254.0
Argentina,2021-09-16,CanSino,18580.0
Argentina,2021-09-17,CanSino,27169.0
Argentina,2021-09-18,CanSino,27642.0
Argentina,2021-09-19,CanSino,27686.0
Argentina,2021-09-20,CanSino,30182.0
Argentina,2021-09-21,CanSino,32679.0
Argentina,2021-09-22,CanSino,35968.0
Argentina,2021-09-23,CanSino,39844.0
Argentina,2021-09-24,CanSino,44135.0
Argentina,2021-09-25,CanSino,46654.0
Argentina,2021-09-26,CanSino,47274.0
Argentina,2021-09-27,CanSino,52907.0
Argentina,2021-09-28,CanSino,58224.0
Argentina,2021-09-29,CanSino,62143.0
Argentina,2021-09-30,CanSino,65388.0
Argentina,2021-10-01,CanSino,69169.0
Argentina,2021-10-02,CanSino,70327.0
Argentina,2021-10-03,CanSino,70494.0
Argentina,2021-10-04,CanSino,73265.0
Argentina,2021-10-05,CanSino,76908.0
Argentina,2021-10-06,CanSino,80838.0
Argentina,2021-10-07,CanSino,83535.0
Argentina,2021-10-08,CanSino,84445.0
Argentina,2021-10-09,CanSino,85262.0
Argentina,2021-10-10,CanSino,85505.0
Argentina,2021-10-11,CanSino,85735.0
Argentina,2021-10-12,CanSino,87908.0
Argentina,2021-10-13,CanSino,90025.0
Argentina,2021-10-14,CanSino,92312.0
Argentina,2021-10-15,CanSino,94910.0
Argentina,2021-10-16,CanSino,95670.0
Argentina,2021-10-17,CanSino,95755.0
Argentina,2021-10-18,CanSino,98025.0
Argentina,2021-10-19,CanSino,100827.0
Argentina,2021-10-20,CanSino,103419.0
Argentina,2021-10-21,CanSino,106150.0
Argentina,2021-10-22,CanSino,108227.0
Argentina,2021-10-23,CanSino,108753.0
Argentina,2021-10-24,CanSino,108889.0
Argentina,2021-10-25,CanSino,110520.0
Argentina,2021-10-26,CanSino,112289.0
Argentina,2021-10-27,CanSino,114032.0
Argentina,2021-10-28,CanSino,115508.0
Argentina,2021-10-29,CanSino,117175.0
Argentina,2021-10-30,CanSino,117460.0
Argentina,2021-10-31,CanSino,117595.0
Argentina,2021-11-01,CanSino,119153.0
Argentina,2021-11-02,CanSino,120966.0
Argentina,2021-11-03,CanSino,122879.0
Argentina,2021-11-04,CanSino,124700.0
Argentina,2021-11-05,CanSino,126102.0
Argentina,2021-11-06,CanSino,126671.0
