dataset,fao_dataset_title,owid_dataset_title,fao_dataset_description,owid_dataset_description
faostat_cisp,Investment: Country Investment Statistics Profile,Investment: Country Investment Statistics Profile,"The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset. The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset.","The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset. The Country Investment Statistics Profile domain provides an overall view of the information about investment in agriculture at country level. Data are collected from other FAOSTAT domains, in particular from Investment and Macro Indicators. The purpose is to give to the users a comprehensive dataset that allows making comparison among the different flows to agriculture within each country. The dataset consists of a time series of more than 200 countries, from 2001 onwards. The information included regards the levels of central government expenditure on agriculture, credit to agriculture, official development flows (commitment) and foreign direct investment on agriculture. Besides the levels of investment flows, the dataset also includes the information on agriculture value added and agriculture gross fixed capital formation. Additional reported indicators are -the share of total flow allocated to agriculture (for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows, Foreign direct Investment to Agriculture), -the agriculture share of total GDP, -the agriculture share of total gross fixed capital formation, -the agriculture orientation index (ratio of the agriculture share of total flow, over the agriculture value added share of total GDP) for Government Expenditure on Agriculture, Credit to Agriculture, Development Flows to Agriculture, -the investment agriculture orientation index (which is the ratio between the agriculture share of gross fixed capital formation over the agriculture share of GDP), -the annual growth,-the investment ratio (ratio between gross fixed capital formation over GDP),-the agriculture investment ratio (ratio between agriculture gross fixed capital formation and agriculture value added). Though the goal is to have complete and consistent coverage for all countries, relatively low response rates for the different databases belonging to the investment domain and country level differences in data collection and reporting creates some challenges in providing a complete and consistent global dataset."
faostat_fbs,Food Balances: Food Balances (2010-),Food Balances: Food Balances (2010-),"A food balance sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per capita food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.","A food balance sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period.

The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption.

The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per capita food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content."
faostat_fbsc,Food Balances: Food Balances (2010-),"Food Balances (old methodology before 2010, and new from 2010 onwards)","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.","Food Balances (old methodology before 2010, and new from 2010 onwards)"
faostat_fbsh,"Food Balances: Food Balances (-2013, old methodology and population)","Food Balances: Food Balances (-2013, old methodology and population)","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period.

The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption.

The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content."
faostat_fs,Food Security and Nutrition: Suite of Food Security Indicators,Food Security and Nutrition: Suite of Food Security Indicators,"The Suite of Food Security Indicators presents the core set of food security indicators. Following the recommendation of experts gathered in the Committee on World Food Security (CFS) Round Table on hunger measurement, hosted at FAO headquarters in September 2011, an initial set of indicators aiming to capture various aspects of food insecurity is presented here. The choice of the indicators has been informed by expert judgment and the availability of data with sufficient coverage to enable comparisons across regions and over time. Many of these indicators are produced and published elsewhere by FAO and other international organizations. They are reported here in a single database with the aim of building a wide food security information system. More indicators will be added to this set as more data will become available. Indicators are classified along the four dimensions of food security -- availability, access, utilization and stability. For definitions of these indicators, see Definitions and standards below (under Item).","The Suite of Food Security Indicators presents the core set of food security indicators.

Following the recommendation of experts gathered in the Committee on World Food Security (CFS) Round Table on hunger measurement, hosted at FAO headquarters in September 2011, an initial set of indicators aiming to capture various aspects of food insecurity is presented here. The choice of the indicators has been informed by expert judgment and the availability of data with sufficient coverage to enable comparisons across regions and over time.

Many of these indicators are produced and published elsewhere by FAO and other international organizations. They are reported here in a single database with the aim of building a wide food security information system. More indicators will be added to this set as more data will become available. Indicators are classified along the four dimensions of food security -- availability, access, utilization and stability."
faostat_lc,"Land, Inputs and Sustainability: Land Cover","Land, Inputs and Sustainability: Land Cover","The FAOSTAT domain on Land Cover data under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF). The land cover information is compiled from publicly available Global Land Cover (GLC) maps: a) MODIS land cover types based on the Land Cover Classification System, LCCS (2001–2021); b) The European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (1992–2020) produced by the Université catholique de Louvain (UCL)-Geomatics and now under the European Copernicus Program; c) The annual land cover maps which were produced under the European Copernicus Global Land Service (CGLS) (CGLS land cover, containing discrete land cover categorization for the period 2015–2019), with spatial resolution 100m; and d) 4) The WorldCover maps of the European Space Agency —available for the years 2020 and 2021, produced at 10m resolution.","The FAOSTAT domain on Land Cover data under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF).

The land cover information is compiled from publicly available Global Land Cover (GLC) maps:

1) MODIS land cover types based on the Land Cover Classification System, LCCS (2001–2021).

2) The European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (1992–2020) produced by the Université catholique de Louvain (UCL)-Geomatics and now under the European Copernicus Program.

3) The annual land cover maps which were produced under the European Copernicus Global Land Service (CGLS) (CGLS land cover, containing discrete land cover categorization for the period 2015–2019), with spatial resolution 100m.

4) The WorldCover maps of the European Space Agency —available for the years 2020 and 2021, produced at 10m resolution.
"
faostat_qcl,Production: Crops and livestock products,Production: Crops and livestock products,"Crop and livestock statistics are recorded for 278 products, covering the following categories: 1) CROPS PRIMARY: Cereals, Citrus Fruit, Fibre Crops, Fruit, Oil Crops, Oil Crops and Cakes in Oil Equivalent, Pulses, Roots and Tubers, Sugar Crops, Treenuts and Vegetables. Data are expressed in terms of area harvested, production quantity and yield. Cereals: Area and production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed or silage or used for grazing are therefore excluded. 2) CROPS PROCESSED: Beer of barley; Cotton lint; Cottonseed; Margarine, short; Molasses; Oil, coconut (copra); Oil, cottonseed; Oil, groundnut; Oil, linseed; Oil, maize; Oil, olive, virgin; Oil, palm; Oil, palm kernel; Oil, rapeseed; Oil, safflower; Oil, sesame; Oil, soybean; Oil, sunflower; Palm kernels; Sugar Raw Centrifugal; Wine. 3) LIVE ANIMALS: Animals live n.e.s.; Asses; Beehives; Buffaloes; Camelids, other; Camels; Cattle; Chickens; Ducks; Geese and guinea fowls; Goats; Horses; Mules; Pigeons, other birds; Pigs; Rabbits and hares; Rodents, other; Sheep; Turkeys. 4) LIVESTOCK PRIMARY: Beeswax; Eggs (various types); Hides buffalo, fresh; Hides, cattle, fresh; Honey, natural; Meat (ass, bird nes, buffalo, camel, cattle, chicken, duck, game, goat, goose and guinea fowl, horse, mule, Meat nes, meat other camelids, Meat other rodents, pig, rabbit, sheep, turkey); Milk (buffalo, camel, cow, goat, sheep); Offals, nes; Silk-worm cocoons, reelable; Skins (goat, sheep); Snails, not sea; Wool, greasy. 5) LIVESTOCK PROCESSED: Butter (of milk from sheep, goat, buffalo, cow); Cheese (of milk from goat, buffalo, sheep, cow milk); Cheese of skimmed cow milk; Cream fresh; Ghee (cow and buffalo milk); Lard; Milk (dry buttermilk, skimmed condensed, skimmed cow, skimmed dried, skimmed evaporated, whole condensed, whole dried, whole evaporated); Silk raw; Tallow; Whey (condensed and dry); Yoghurt.","Crop and livestock statistics are recorded for 278 products, covering the following categories:

1) Crops primary: Cereals, Citrus Fruit, Fibre Crops, Fruit, Oil Crops, Oil Crops and Cakes in Oil Equivalent, Pulses, Roots and Tubers, Sugar Crops, Treenuts and Vegetables. Data are expressed in terms of area harvested, production quantity and yield. Cereals: Area and production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed or silage or used for grazing are therefore excluded.

2) Crops processed: Beer of barley; Cotton lint; Cottonseed; Margarine, short; Molasses; Oil, coconut (copra); Oil, cottonseed; Oil, groundnut; Oil, linseed; Oil, maize; Oil, olive, virgin; Oil, palm; Oil, palm kernel; Oil, rapeseed; Oil, safflower; Oil, sesame; Oil, soybean; Oil, sunflower; Palm kernels; Sugar Raw Centrifugal; Wine.

3) Live animals: Animals live n.e.s.; Asses; Beehives; Buffaloes; Camelids, other; Camels; Cattle; Chickens; Ducks; Geese and guinea fowls; Goats; Horses; Mules; Pigeons, other birds; Pigs; Rabbits and hares; Rodents, other; Sheep; Turkeys.

4) Livestock primary: Beeswax; Eggs (various types); Hides buffalo, fresh; Hides, cattle, fresh; Honey, natural; Meat (ass, bird nes, buffalo, camel, cattle, chicken, duck, game, goat, goose and guinea fowl, horse, mule, Meat nes, meat other camelids, Meat other rodents, pig, rabbit, sheep, turkey); Milk (buffalo, camel, cow, goat, sheep); Offals, nes; Silk-worm cocoons, reelable; Skins (goat, sheep); Snails, not sea; Wool, greasy.

5) Livestock processed: Butter (of milk from sheep, goat, buffalo, cow); Cheese (of milk from goat, buffalo, sheep, cow milk); Cheese of skimmed cow milk; Cream fresh; Ghee (cow and buffalo milk); Lard; Milk (dry buttermilk, skimmed condensed, skimmed cow, skimmed dried, skimmed evaporated, whole condensed, whole dried, whole evaporated); Silk raw; Tallow; Whey (condensed and dry); Yoghurt.
"
faostat_qi,Production: Production Indices,Production: Production Indices,The FAO indices of agricultural production show the relative level of the aggregate volume of agricultural production for each year in comparison with the base period 2014-2016. Indices for meat production are computed based on data on production from indigenous animals.,The FAO indices of agricultural production show the relative level of the aggregate volume of agricultural production for each year in comparison with the base period 2014-2016. Indices for meat production are computed based on data on production from indigenous animals.
faostat_qv,Production: Value of Agricultural Production,Production: Value of Agricultural Production,"The domain provides detailed data on the value of agricultural production that is calculated by the agricultural production data and the price data at farm gate. Thus, the value of production measures the agricultural production in monetary terms at the farm gate level.","The domain provides detailed data on the value of agricultural production that is calculated by the agricultural production data and the price data at farm gate. Thus, the value of production measures the agricultural production in monetary terms at the farm gate level."
faostat_rfn,"Land, Inputs and Sustainability: Fertilizers by Nutrient","Land, Inputs and Sustainability: Fertilizers by Nutrient","The Fertilizers by Nutrient dataset contains information on the totals in nutrients for Production, Trade and Agriculture Use of inorganic (chemical or mineral) fertilizers, over the time series 1961-2023. The data are provided for the three primary plant nutrients: nitrogen (N), phosphorus (expressed as P2O5) and potassium (expressed as K2O). Both straight and compound fertilizers are included. There is information on the methodology available at: https://files-faostat.fao.org/production/RFN/RFN_EN_README.pdf","The Fertilizers by Nutrient dataset contains information on the totals in nutrients for Production, Trade and Agriculture Use of inorganic (chemical or mineral) fertilizers, over the time series 1961-2023.

The data are provided for the three primary plant nutrients: nitrogen (N), phosphorus (expressed as P2O5) and potassium (expressed as K2O). Both straight and compound fertilizers are included.

There is information on the methodology available at: https://files-faostat.fao.org/production/RFN/RFN_EN_README.pdf
"
