year,country,trust,trust_first,trust_first_not_very_much,trust_first_not_at_all,trust_personally,trust_personally_not_very_much,trust_personally_not_at_all,take_advantage,confidence_government
1984,Argentina,26.09649,,,,,,,,
1984,Australia,48.19176,,,,,,,,
1984,Canada,47.04944,,,,,,,,
1984,Finland,57.17192,,,,,,,,
1984,Hungary,33.56991,,,,,,,,
1984,Japan,41.49226,,,,,,,,
1984,South Korea,38.01743,,,,,,,,
1984,Mexico,17.49436,,,,,,,,
1984,South Africa,29.03001,,,,,,,,
1984,Sweden,56.73516,,,,,,,,
1984,United States,40.50465,,,,,,,,
1993,Argentina,22.35529,,,,,,,,
1993,Brazil,6.397306,,,,,,,,
1993,Belarus,25.02463,,,,,,,,
1993,Canada,51.38889,,,,,,,,
1993,Chile,22.06667,,,,,,,,58.6
1993,China,59.45946,,,,,,,,
1993,Czechia,30.22752,,,,,,,,47.72727
1993,India,33.52,,,,,,,,43.36
1993,Japan,37.58655,,,,,,,,
1993,South Korea,34.17413,,,,,,,,
1993,Mexico,30.56106,,,,,,,,24.40789
1993,Nigeria,21.67832,,,,,,,,26.07393
1993,Poland,34.46659,,,,,,,,
1993,Russia,34.72718,,,,,,,,
1993,Slovakia,23.01075,,,,,,,,34.76395
1993,South Africa,29.14418,,,,,,,,
1993,Spain,29.00662,,,,,,,,25.76159
1993,Sweden,66.10169,,,,,,,,
1993,Switzerland,26.28571,,,,,,,,
1993,Turkey,9.805825,,,,,,,,43.39806
1993,United States,49.61832,,,,,,,,
1998,Albania,24.32433,,,,,,,,37.93794
1998,Azerbaijan,19.43057,,,,,,,,85.86414
1998,Argentina,17.14551,,,,,,,,25.48656
1998,Australia,39.59961,,,,,,,,25.58594
1998,Bangladesh,20.45901,,,,,,,,77.2459
1998,Armenia,23.5,,,,,,,,41.2
1998,Bosnia Herzegovina,26.91667,,,,,,,,69.33334
1998,Brazil,2.79965,,,,,,,,48.29396
1998,Bulgaria,23.69403,,,,,,,,55.97015
1998,Belarus,22.99235,,,,,,,,47.89675
1998,Chile,20.9,,,,,,,,52.2
1998,China,50.4,,,,,,,,
1998,Taiwan ROC,37.16129,,,,,,,,68.08786
1998,Colombia,10.72199,,,,,,,,35.49026
1998,Croatia,22.82609,,,,,,,,50.50167
1998,Czechia,28.5192,,,,,,,,30.61773
1998,Dominican Rep.,25.17986,,,,,,,,11.99041
1998,El Salvador,14.11483,,,,,,,,40.27113
