Notes,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Transport accidents,V01-V99,"Pedestrian injured in collision with pedal cycle, nontraffic accident",V01.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedestrian injured in collision with pedal cycle, traffic accident",V01.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V01.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident",V02.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident",V02.1,51,334914895,0
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V02.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident",V03.0,117,334914895,0
,Transport accidents,V01-V99,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,2639,334914895,0.8
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V03.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident",V04.0,61,334914895,0
,Transport accidents,V01-V99,"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident",V04.1,238,334914895,0.1
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V04.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident",V05.0,17,334914895,Unreliable
,Transport accidents,V01-V99,"Pedestrian injured in collision with railway train or railway vehicle, traffic accident",V05.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V05.9,530,334914895,0.2
,Transport accidents,V01-V99,"Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident",V06.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedestrian injured in collision with other nonmotor vehicle, traffic accident",V06.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified whether traffic or nontraffic accident,V06.9,0,334914895,Unreliable
,Transport accidents,V01-V99,Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles,V09.0,160,334914895,0
,Transport accidents,V01-V99,Pedestrian injured in unspecified nontraffic accident,V09.1,24,334914895,0
,Transport accidents,V01-V99,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,5175,334914895,1.5
,Transport accidents,V01-V99,Pedestrian injured in unspecified traffic accident,V09.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Pedestrian injured in unspecified transport accident,V09.9,33,334914895,0
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, driver injured in nontraffic accident",V10.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, passenger injured in nontraffic accident",V10.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, unspecified pedal cyclist injured in nontraffic accident",V10.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, person injured while boarding or alighting",V10.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, driver injured in traffic accident",V10.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, passenger injured in traffic accident",V10.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with pedestrian or animal, unspecified pedal cyclist injured in traffic accident",V10.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, driver injured in nontraffic accident",V11.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, passenger injured in nontraffic accident",V11.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, unspecified pedal cyclist injured in nontraffic accident",V11.2,0,334914895,Unreliable
