rank,country,population_2026,searched,in_dataset,recalculated,tier,note
1,India,1476625571,full,yes,no,sample,"SRS publishes rates only; no raw counts exist anywhere, confirmed"
2,China,1412914090,full,yes,yes,survey,recalculated from the 2000/2010/2020 census counts
3,United States,349035484,full,yes,no,complete,rates 1940-2024; counts exist but Census vintage choice moves the answer 1.4%
4,Indonesia,287886782,full,yes,no,survey,"four survey rounds 2010-2025; the old 2.42 was wrong, BPS says 2.18 for 2020"
5,Pakistan,259299792,full,yes,no,survey,PDS series 2001-2020; the 2007 round publishes real counts
6,Nigeria,242431835,full,yes,no,survey,switched to the measured NDHS series 2003-2024; no usable counts
7,Brazil,213562666,full,yes,yes,complete,
8,Bangladesh,177818039,full,yes,no,sample,"42-year SVRS series 1982-2023; rates only, no counts published"
9,Russia,143394457,full,yes,no,complete,yearbook series 1990-2022 plus births and women counts for 2022
10,Ethiopia,138902185,full,yes,no,survey,EDHS series 2000-2024; no post-2007 female population by age exists
11,Mexico,132997658,full,yes,yes,complete,
12,Japan,122427730,full,yes,no,complete,"denominator now the Statistics Bureau's own population, not recovered from rates"
13,Egypt,120101178,full,yes,no,complete,"CAPMAS's rate is a PAS model estimate, not a raw count; registry gives 2.38 vs 2.41"
14,Philippines,117724473,full,yes,yes,incomplete,
15,Democratic Republic of Congo,116452162,full,yes,no,survey,EDS rounds only; no census since 1984
16,Vietnam,102177434,full,yes,no,survey,"2001-2025 from the survey report; published rate is P/F-adjusted, ~13% on the census check"
17,Iran,93168492,full,no,,,"no TFR obtainable; amar.org.ir drops foreign connections, sci.org.ir is down"
18,Turkey,87926083,full,yes,no,complete,female population by age now scriptable; births by age still behind a single-use token
19,Germany,83644257,full,yes,no,complete,"denominator now Destatis table 12411-10, the average resident population"
20,Tanzania,72563778,full,yes,no,survey,census adjusted TFR; raw counts exist but reproduce the unadjusted 3.2
21,Thailand,71559619,full,yes,yes,complete,
22,United Kingdom,69931528,full,yes,no,complete,we plot England and Wales; ONS's own tables put it a steady 0.02 above the UK
23,France,66746398,full,yes,no,complete,denominator now INSEE's mean-year population; Mayotte break kept to match the UN territory
24,South Africa,65453083,full,yes,no,projection,headline TFR is Spectrum model output; registry implies 1.53 vs published 2.41
25,Italy,58926166,full,yes,no,complete,"SDMX route found and verified by an agent (1.205 vs published 1.20); host down, not built"
