dataset,element_code,fao_element,owid_element,fao_unit,fao_unit_short_name,owid_unit,owid_unit_short_name,owid_unit_factor,fao_element_description,owid_element_description,owid_aggregation,was_per_capita,make_per_capita
faostat_rl,005110,Area,Area,thousand Hectares,1000 ha,thousand Hectares,1000 ha,1000,Extent of surface of land or water. Source: FAO Statistics Division,Extent of surface of land or water. Source: FAO Statistics Division,sum,0,1
faostat_qcl,005312,Area harvested,Area harvested,Hectares,ha,Hectares,ha,,"Data refer to the area from which a crop is gathered. Area harvested, therefore, excludes the area from which, although sown or planted, there was no harvest due to damage, failure, etc. It is usually net for temporary crops and some times gross for permanent crops. Net area differs from gross area insofar as the latter includes uncultivated patches, footpaths, ditches, headlands, shoulders, shelterbelts, etc.If the crop under consideration is harvested more than once during the year as a consequence of successive cropping (i.e. the same crop is sown or planted more than once in the same field during the year), the area is counted as many times as harvested. On the contrary, area harvested will be recorded only once in the case of successive gathering of the crop during the year from the same standing crops. With regard to mixed and associated crops, the area sown relating to each crop should be reported separately. When the mixture refers to particular crops, generally grains, it is recommended to treat the mixture as if it were a single crop; therefore, area sown is recorded only for the crop reported. Source: FAO Statistics Division","Area from which a crop is gathered. Area harvested, therefore, excludes the area from which, although sown or planted, there was no harvest due to damage, failure, etc. It is usually net for temporary crops and some times gross for permanent crops. Net area differs from gross area insofar as the latter includes uncultivated patches, footpaths, ditches, headlands, shoulders, shelterbelts, etc. If the crop under consideration is harvested more than once during the year as a consequence of successive cropping (i.e. the same crop is sown or planted more than once in the same field during the year), the area is counted as many times as harvested. On the contrary, area harvested will be recorded only once in the case of successive gathering of the crop during the year from the same standing crops. With regard to mixed and associated crops, the area sown relating to each crop should be reported separately. When the mixture refers to particular crops, generally grains, it is recommended to treat the mixture as if it were a single crop; therefore, area sown is recorded only for the crop reported. Source: FAO Statistics Division.",sum,0,1
faostat_fbsc,005301,Domestic supply quantity,Domestic supply quantity,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Production + imports - exports + changes in stocks (decrease or increase) = supply for domestic utilization in the new methodology. There are various ways of defining supply and, in fact, various concepts are in use. The elements involved are production, imports, exports and changes in stocks (increase or decrease). There is no doubt that production, imports and stock changes (either decrease or increase in stocks) are genuine supply elements. Source: FAO Statistics Division","Supply for domestic utilization in the new methodology equals production + imports - exports + changes in stocks (decrease or increase). There are various ways of defining supply and, in fact, various concepts are in use. The elements involved are production, imports, exports and changes in stocks (increase or decrease). There is no doubt that production, imports and stock changes (either decrease or increase in stocks) are genuine supply elements. Source: FAO Statistics Division.",sum,0,1
faostat_fbsc,005911,Export quantity,Export quantity,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,,,sum,0,1
faostat_fbsc,000684,Fat supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Grams per capita per day,g/cap/d,Grams per capita per day,g/cap/d,,,,sum,1,1
faostat_fbsc,005521,Feed,Feed,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Data refer to the quantity of the commodity in question available for feeding to the livestock and poultry during the reference period, whether domestically produced or imported. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.","Data refer to the quantity of the commodity in question available for feeding to the livestock and poultry during the reference period, whether domestically produced or imported. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",sum,0,1
faostat_fbsc,005142,Food,Food,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Data refer to the total amount of the commodity available as human food during the reference period. Data include the commodity in question, as well as any commodity derived therefrom as a result of further processing. Food from maize, for example, comprises the amount of maize, maize meal and any other products derived therefrom available for human consumption. Food from milk relates to the amounts of milk as such, as well as the fresh milk equivalent of dairy products. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.","Data refer to the total amount of the commodity available as human food during the reference period. Data include the commodity in question, as well as any commodity derived therefrom as a result of further processing. Food from maize, for example, comprises the amount of maize, maize meal and any other products derived therefrom available for human consumption. Food from milk relates to the amounts of milk as such, as well as the fresh milk equivalent of dairy products. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",sum,0,1
faostat_fbsc,000664,Food supply (kcal/capita/day),Food supply (kcal/capita/day),Kilocalories per capita per day,kcal/cap/d,Kilocalories per capita per day,kcal/cap/d,,,,sum,1,1
faostat_fbsc,000645,Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),Kilograms per capita,kg/cap,Kilograms per capita,kg/cap,,,,sum,1,1
faostat_fbsc,005611,Import quantity,Import quantity,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,,,sum,0,1
faostat_qcl,005313,Laying,Laying,thousand Animals,1000 An,thousand Animals,1000 An,1000.0,,,sum,0,0
faostat_fbsc,005123,Losses,Losses,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Amount of the commodity in question lost through wastage (waste) during the year at all stages between the level at which production is recorded and the household, i.e. storage and transportation. Losses occurring before and during harvest are excluded. Waste from both edible and inedible parts of the commodity occurring in the household is also excluded. Quantities lost during the transformation of primary commodities into processed products are taken into account in the assessment of respective extraction/conversion rates. Distribution wastes tend to be considerable in countries with hot humid climate, difficult transportation and inadequate storage or processing facilities. This applies to the more perishable foodstuffs, and especially to those which have to be transported or stored for a long time in a tropical climate. Waste is often estimated as a fixed percentage of availability, the latter being defined as production plus imports plus stock withdrawals. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.","Amount of the commodity in question lost through wastage (waste) during the year at all stages between the level at which production is recorded and the household, i.e. storage and transportation. Losses occurring before and during harvest are excluded. Waste from both edible and inedible parts of the commodity occurring in the household is also excluded. Quantities lost during the transformation of primary commodities into processed products are taken into account in the assessment of respective extraction/conversion rates. Distribution wastes tend to be considerable in countries with hot humid climate, difficult transportation and inadequate storage or processing facilities. This applies to the more perishable foodstuffs, and especially to those which have to be transported or stored for a long time in a tropical climate. Waste is often estimated as a fixed percentage of availability, the latter being defined as production plus imports plus stock withdrawals. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",sum,0,1
faostat_qcl,005318,Milk Animals,Milk Animals,Animals,An,Animals,An,,,,sum,0,0
faostat_fbsc,005154,Other uses (non-food),Other uses (non-food),thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Data refer to quantities of commodities used for non-food purposes, e.g. oil for soap. In order not to distort the picture of the national food pattern quantities of the commodity in question consumed mainly by tourists are included here (see also ""Per capita supply""). In addition, this variable covers pet food. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.","Data refer to quantities of commodities used for non-food purposes, e.g. oil for soap. In order not to distort the picture of the national food pattern quantities of the commodity in question consumed mainly by tourists are included here (see also ""Per capita supply""). In addition, this variable covers pet food. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",sum,0,1
faostat_fbsc,005131,Processing,Processing,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,,,sum,0,0
faostat_qcl,005321,Producing Animals/Slaughtered,Producing Animals/Slaughtered,thousand Animals,1000 An,thousand Animals,1000 An,1000.0,,,sum,0,1
faostat_qcl,005320,Producing Animals/Slaughtered,Producing Animals/Slaughtered,Animals,An,Animals,An,,,,sum,0,1
faostat_fbsc,005511,Production,Production,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Figures relate to the total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division","Figures relate to the total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division",sum,0,0
