Zimbabwe | 2002 | census, ~15 Aug 2002 (single reference night) | twelve months preceding the census | 2002.1 | 2002 | documented | 2022 Census Fertility Thematic Report, Methodology: "TFR... derived from reported births in the twelve months preceding the census"
Zimbabwe | 2005 | Aug 2005 to Mar 2006 (ZDHS) | three years preceding the survey (standard DHS) | 2004.4 | 2004 | inferred | ZDHS 2005-06 (FR186): "from August 2005 to March 2006"
Zimbabwe | 2010 | 29 Sep 2010 to late Mar 2011 (ZDHS) | three years preceding the survey (standard DHS) | 2009.5 | 2010 | inferred | FR254 1.4.5: "from 29 September 2010 through late March 2011"
Zimbabwe | 2012 | census, ~17 Aug 2012 (single reference night) | twelve months preceding the census | 2012.1 | 2012 | documented | same census-TFR methodology as the 2022 report, applied across the 1969-2022 census series
Zimbabwe | 2015 | Jul 2015 to Dec 2015 (ZDHS) | three years preceding the survey (standard DHS) | 2014.2 | 2014 | inferred | DHS Program survey metadata (ZW2015DHS fieldwork 2015-07-01 to 2015-12-01)
Zimbabwe | 2022 | census, 17-24 Apr 2022 | twelve months preceding the census | 2021.8 | 2022 | documented | 2022 Census Fertility Thematic Report, Methodology p.11: "TFR...derived from reported births in the twelve months preceding the census"; TFR 3.7 for 2022
Bolivia | 1998 | 23 Mar to 22 Sep 1998 (ENDSA) | three years preceding the survey | 1997.0 | 1997 | documented | FR99: "entre el 23 de marzo y el 22 de septiembre de 1998"; TFR for "los tres anos anteriores a la encuesta"
Bolivia | 2003 | Aug 2003 to Jan 2004 (ENDSA) | three years preceding the survey | 2002.3 | 2002 | documented | FR159 Cuadro 4.1: "Niveles de Fecundidad para los tres anos que precedieron a la encuesta"
Bolivia | 2008 | Feb to Jun 2008 (ENDSA) | three years preceding the survey | 2006.8 | 2007 | documented | FR228 Ch.4: "Las tasas se refieren a los tres anos anteriores a la encuesta"
Bolivia | 2016 | 3 May to 30 Sep 2016 (EDSA) | 36 months preceding the survey | 2015.0 | 2015 | documented | EDSA 2016: "La medicion de las tasas de fecundidad se refiere al periodo de 36 meses antes de la encuesta"; fieldwork "del 3 de mayo al 30 de septiembre de 2016"
Bolivia | 2023 | 1 Sep to 20 Dec 2023 (EDSA) | assumed 36 months, same as EDSA 2016 (unconfirmed for this round) | 2022.3 | 2022 | inferred | EDSA 2023 "Generalidades": "del 1 de septiembre al 20 de diciembre de 2023"
Cote d'Ivoire | 2012 | Dec 2011 to May 2012 (DHS) | three years preceding the survey | 2010.6 | 2011 | documented | DHS Special Report SR280: "naissances par femme pour la periode de 3 ans precedant l'enquete"; TFR 5.0
Cote d'Ivoire | 2016 | 23 Apr to 22 Jul 2016 (MICS5) | standard MICS 3-year window (not independently quoted) | 2014.9 | 2015 | inferred | MICS5: "du 23 avril au 22 juillet 2016"
Cote d'Ivoire | 2021 | Sep to Dec 2021 (DHS) | three years preceding the survey | 2020.3 | 2020 | documented | DHS Special Report SR280 (same 3-year definition); TFR 4.3
North Korea | 2008 | census, reference night 1 Oct 2008, enumeration 1-15 Oct 2008 | assumed standard 12-month census recall (not confirmed in source) | 2008.25 | 2008 | inferred | UN DPRK: "October 1, 2008 as the reference point of time"
North Korea | 2014 | unknown | unknown | unknown | unknown | unknown | could not establish fieldwork dates or reference period for the 2014 DPRK Socio-Economic, Demographic and Health Survey
Burundi | 2010 | Aug 2010 to Jan 2011 (EDSB-II) | three years preceding the survey (standard DHS, not independently quoted) | 2009.3 | 2009 | inferred | DHS metadata (BU2010DHS fieldwork 2010-08-01 to 2011-01-01); FR253
Burundi | 2017 | Oct 2016 to Feb 2017 (EDSB-III, "2016-17") | three years preceding the survey (standard DHS, not independently quoted) | 2015.4 | 2015 | inferred | DHS metadata (BU2016DHS fieldwork 2016-10-01 to 2017-02-01)
