country,plotted_year,reference_year,basis
Afghanistan,2015,2015,inferred
Angola,2016,2015,documented
Angola,2024,2022,documented
Benin,2001,2000,documented
Benin,2006,2005,documented
Benin,2012,2011,documented
Benin,2018,2017,documented
Bolivia,1998,1997,documented
Bolivia,2003,2002,documented
Bolivia,2008,2007,documented
Bolivia,2016,2015,documented
Bolivia,2023,2022,inferred
Burkina Faso,2003,2002,documented
Burkina Faso,2010,2009,documented
Burkina Faso,2021,2020,documented
Burundi,2010,2009,inferred
Burundi,2017,2015,inferred
Cambodia,2000,1999,documented
Cambodia,2005,2004,documented
Cambodia,2010,2009,documented
Cambodia,2014,2013,documented
Cambodia,2022,2020,documented
Cameroon,2011,2010,documented
Cameroon,2018,2017,documented
Chad,2009,2009,inferred
Chad,2010,2008,documented
Chad,2015,2014,documented
Chad,2019,2018,documented
China,2000,2000,inferred
China,2010,2010,inferred
China,2020,2020,documented
Cote d'Ivoire,2012,2011,documented
Cote d'Ivoire,2016,2015,inferred
Cote d'Ivoire,2021,2020,documented
Democratic Republic of Congo,2014,2012,documented
Democratic Republic of Congo,2024,2022,documented
Dominican Republic,2019,2018,documented
Ethiopia,2000,1999,documented
Ethiopia,2005,2004,documented
Ethiopia,2011,2010,documented
Ethiopia,2016,2015,documented
Ethiopia,2024,2024,documented
Ghana,2003,2002,documented
Ghana,2008,2007,documented
Ghana,2014,2013,documented
Ghana,2022,2022,documented
Guinea,2005,2004,documented
Guinea,2012,2011,documented
Guinea,2018,2017,documented
Haiti,2006,2005,inferred
Haiti,2012,2011,inferred
Haiti,2017,2016,inferred
Honduras,2006,2005,documented
Honduras,2012,2011,documented
Honduras,2019,2019,documented
Indonesia,2010,2010,inferred
Indonesia,2015,2015,inferred
Indonesia,2020,2022,documented
Indonesia,2025,2025,inferred
Iraq,1997,1997,inferred
Iraq,2004,2004,inferred
Iraq,2006,2004,documented
Iraq,2007,2007,inferred
Iraq,2011,2010,inferred
Iraq,2024,2024,inferred
Jordan,2018,2017,documented
Jordan,2023,2022,documented
Kenya,2009,2009,documented
Kenya,2019,2019,documented
Madagascar,2004,2003,documented
Madagascar,2009,2008,documented
Madagascar,2021,2020,documented
Malawi,2000,1999,documented
Malawi,2004,2003,documented
Malawi,2008,2008,documented
Malawi,2010,2009,documented
