Zambia | 2002 | Nov 2001 to May 2002 | three-year period, report states it "corresponds to the calendar period 1999-2001" | 2000.0 | 2000 | documented | ZDHS 2001-02: "roughly corresponds to the calendar period 1999-2001"; TFR=5.9 matches
Zambia | 2007 | Apr 2007 to Oct 2007 | "rates are generally presented for the period 1-36 months preceding the survey" | 2006.0 | 2006 | documented | ZDHS 2007 Ch.4; TFR=6.2 (Table 4.1)
Zambia | 2014 | Aug 2013 to Apr 2014 | three-year period, report states it "corresponds to the calendar period 2011-2013" | 2012.0 | 2012 | documented | ZDHS 2013-14 5.1: "corresponds to the calendar period 2011-2013"; TFR=5.3 matches
Zambia | 2018 | 17 Jul 2018 to 24 Jan 2019 | "Rates are for the period 1-36 months preceding the interview" | 2017.0 | 2017 | documented | ZDHS 2018 Table 5.1 note; TFR=4.7 matches
Zambia | 2024 | 17 Jan 2024 to 7 Jul 2024 | "Rates are for the period 1-36 months preceding the interview" | 2023.0 | 2023 | documented | ZDHS 2024 Table 5.1 note; TFR=4.0 matches national total
Nigeria | 2003 | Mar 2003 to Aug 2003 | "generally presented for the three-year period preceding the survey" | 2002.0 | 2002 | documented | NDHS 2003 Ch.4; TFR=5.7 matches
Nigeria | 2008 | Jun 2008 to Oct 2008 | "the three-year period preceding the survey" | 2007.0 | 2007 | documented | NDHS 2008: "current fertility rates for the three years preceding the survey"; TFR=5.7
Nigeria | 2013 | 15 Feb 2013 to Jun 2013 | "total fertility rate for the three years preceding the survey is 5.5" | 2012.0 | 2012 | documented | NDHS 2013 Key Findings
Nigeria | 2018 | 14 Aug 2018 to 29 Dec 2018 | "period 1-36 months preceding the survey" | 2017.0 | 2017 | documented | NDHS 2018; TFR=5.3 matches
Nigeria | 2024 | 1 Dec 2023 to 7 May 2024 | "for the 3 years preceding the survey" | 2022.0 | 2022 | documented | NDHS 2024 final report Table 5.1; TFR=4.8 matches; fieldwork "from 1 December 2023 to 7 May 2024"
China | 2000 | census standard time 1 Nov 2000 | inferred from the 2020 census's documented convention: the fertility table covers Nov(year-1) to Oct(year); same census design | 2000.3 | 2000 | inferred | the 2020-round table documents the pattern; the 2000-round equivalent could not be retrieved
China | 2010 | census standard time 1 Nov 2010 | inferred, same basis as above | 2010.3 | 2010 | inferred | 2010-round equivalent table not retrieved directly
China | 2020 | census standard time 1 Nov 2020 | the table itself states the window | 2020.3 | 2020 | documented | stats.gov.cn table B0603 title: "6-3 ... (2019.11.1-2020.10.31)"
South Sudan | 2008 | census enumeration April 2008 | births in the twelve months before the census, raised by the indirect techniques of the UN's Manual X | 2007.8 | 2008 | documented | filled in by hand, not by the agent, which could not find the source: NBS, "Levels and Patterns of Fertility and Mortality in South Sudan: Analysis of Census 2008" (2013), table 4, national TFR 6.92; the bureau no longer serves the PDF and it was read from the Internet Archive's 2017 capture of ssnbss.org
South Sudan | 2010 | last week of Mar 2010 to end of Jun 2010 | "total fertility rate for the three years preceding the survey" | 2009.0 | 2009 | documented | SHHS2/MICS 2010: "Fieldwork began in last week of March and concluded by the end of June 2010"; TFR 7.5
South Sudan | 2025 | Mar 2025 to Jun 2025 | "three-year period preceding the survey" | 2024.0 | 2024 | documented | MICS 2025 Key Findings: "Fieldwork March - June 2025"; TFR 6.4
Tanzania | 2022 | 24 Feb 2022 to 21 Jul 2022 | "for the 3 years preceding the survey" | 2021.0 | 2021 | documented | TDHS-MIS 2022 Table 5.1; TFR=4.8 national (the report notes this is the official figure against the concurrent 2022 census's 4.6)
Sudan | 2014 | Aug 2014 to Nov 2014 | "for the three years preceding the MICS5 survey" | 2013.0 | 2013 | documented | Sudan MICS5 2014: "The Total Fertility Rate (TFR) for the three years preceding the MICS5 survey is 5.2 births per woman"; fieldwork "from August to November 2014"
