Senegal | 2005 | Feb 2005 to May 2005 (SN2005DHS) | inferred three years before survey, ~May 2002 to May 2005 | 2003.8 | 2004 | inferred | DHS API fieldwork dates for SN2005DHS; standard DHS 3-yr window (Senegal's continuous-round practice of using this window confirmed via SR209, see 2012 row)
Senegal | 2010 | Oct 2010 to Apr 2011 (SN2010DHS, EDS-MICS) | inferred three years before survey, ~Apr 2008 to Apr 2011 | 2009.7 | 2010 | inferred | DHS API fieldwork dates for SN2010DHS; standard DHS 3-yr window
Senegal | 2012 | Sep 2012 to Jun 2013 (SN2012DHS, first Continuous DHS round) | "the three-year period before the survey," ~Jun 2010 to Jun 2013 | 2011.9 | 2012 | documented | SR209 "Continuous DHS and SPA 2012-13 Key Findings": TFR "calculated from the three-year period before the survey"
Senegal | 2014 | Jan 2014 to Oct 2014 (SN2014DHS) | inferred three years before survey, ~Oct 2011 to Oct 2014 | 2013.2 | 2013 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology as documented for 2012-13 round
Senegal | 2015 | Jan 2015 to Oct 2015 (SN2015DHS) | inferred three years before survey, ~Oct 2012 to Oct 2015 | 2014.2 | 2014 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Senegal | 2016 | Jan 2016 to Oct 2016 (SN2016DHS) | inferred three years before survey, ~Oct 2013 to Oct 2016 | 2015.2 | 2015 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Senegal | 2017 | Apr 2017 to Dec 2017 (SN2017DHS) | inferred three years before survey, ~Dec 2014 to Dec 2017 | 2016.4 | 2016 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Senegal | 2018 | Jun 2018 to Dec 2018 (SN2018DHS) | inferred three years before survey, ~Dec 2015 to Dec 2018 | 2017.4 | 2017 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Senegal | 2019 | Apr 2019 to Dec 2019 (SN2019DHS) | inferred three years before survey, ~Dec 2016 to Dec 2019 | 2018.4 | 2018 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Senegal | 2023 | Feb 2023 to Aug 2023 (SN2023DHS) | inferred three years before survey, ~Aug 2020 to Aug 2023 | 2022.1 | 2022 | inferred | DHS API fieldwork dates; same continuous-round 3-yr methodology
Nepal | 2001 | Enumeration Jun 11-21, 2001; census day Jun 22, 2001 | children born alive in the 12 months preceding census night, ~Jun 2000 to Jun 2001 | 2001.0 | 2001 | documented | Census portal (censusresults.nsonepal.gov.np/fertility): fertility indicator defined as "children born alive in last 12 months"; census-day date per GHDx
Nepal | 2011 | Enumeration Jun 17-27, 2011; census day Jun 22, 2011 | children born alive in the 12 months preceding census night, ~Jun 2010 to Jun 2011 | 2011.0 | 2011 | documented | Same 12-month reference-period definition; enumeration/census-day dates confirmed for 2011 round
Nepal | 2021 | Enumeration Nov 11-25, 2021 (postponed from Jun 2021 due to COVID-19) | children born alive in the 12 months preceding census night, ~Nov 2020 to Nov 2021 | 2021.4 | 2021 | documented | Same 12-month reference-period definition; enumeration dates per Wikipedia/NSO
Haiti | 2006 | Oct 2005 to Jun 2006 (HT2006DHS/EMMUS-IV) | inferred three years before survey, ~Jun 2003 to Jun 2006 | 2004.9 | 2005 | inferred | DHS StatCompiler API fieldwork dates for HT2006DHS; standard DHS 3-yr recall window (report's own reference-period sentence not retrievable)
Haiti | 2012 | Jan 2012 to Jun 2012 (HT2012DHS/EMMUS-V) | inferred three years before survey, ~Jun 2009 to Jun 2012 | 2010.9 | 2011 | inferred | DHS API fieldwork dates for HT2012DHS; standard DHS 3-yr recall window
Haiti | 2017 | Nov 2016 to Apr 2017 (HT2016DHS/EMMUS-VI) | inferred three years before survey, ~Apr 2014 to Apr 2017 | 2015.7 | 2016 | inferred | DHS API fieldwork dates for HT2016DHS; standard DHS 3-yr recall window
Yemen | 2013 | Sep 14 to Nov 23, 2013 (2-week pause Oct 10-25 for Eid al-Adha) | "age-specific fertility rates for the three years preceding the survey," ~Nov 2010 to Nov 2013 | 2012.4 | 2012 | documented | FR296 (Yemen NHDS 2013), Chapter 5 Fertility: "...based on age-specific fertility rates for the three years preceding the survey"
Afghanistan | 2015 | Jun 1, 2015 to Feb 1, 2016 (most teams done by Nov 2015; extended in insecure provinces) | inferred three years before survey, ~Feb 2013 to Feb 2016 | 2014.6 | 2015 | inferred | DHS StatCompiler API (AF2015DHS) fieldwork dates; no full final report was ever released (only a Key Indicators Report), inaccessible, so used standard DHS 3-yr window
