Morocco | 1962 | EOM (Enquete a Objectifs Multiples) fielded 1961-1963 | not stated for EOM itself; Moroccan survey estimates of this era generally cover 3-5 years before fieldwork | 1960.0 | 1960 | inferred | ENPSF-2018: "les enquetes...concernent des periodes couvrant trois a cinq annees avant l'enquete" (the survey is named but its own window is not stated)
Morocco | 1975 | unknown | unknown | unknown | unknown | unknown | HCP's own long-run chart lists 1975 as a survey year but no named survey with fieldwork dates could be identified (EOM=1962, ENFPF=1979-80)
Morocco | 1982 | RGPH3 census, assumed Sept 1982 (exact date not confirmed) | births in the 12 months preceding the census | 1982.0 | 1982 | documented | ENPSF-2018: "recensements (naissances des 12 derniers mois ayant precede le recensement)"
Morocco | 1994 | RGPH4 census, Sept 1994 | births in the 12 months preceding the census | 1994.0 | 1994 | documented | same ENPSF-2018 statement
Morocco | 2004 | RGPH5 census, Sept 2004 | births in the 12 months preceding the census | 2004.0 | 2004 | documented | same ENPSF-2018 statement
Morocco | 2010 | ENDPR 2009-2010, three passages six months apart (prospective, not retrospective); results presented March 2011 | direct prospective observation across the ~12-month multi-round window, not a retrospective recall period | 2010.0 | 2010 | inferred | HCP: "L'END 2009-2010 est une enquete a passages repetes (trois passages espaces de six mois...)"
Morocco | 2014 | RGPH6 census, 1-20 Sept 2014 | births in the 12 months preceding the census | 2014.0 | 2014 | documented | ENPSF-2018 census-methodology statement
Morocco | 2024 | RGPH7 census, assumed Sept 2024 | births in the 12 months preceding the census | 2024.0 | 2024 | documented | ENPSF-2018 census-methodology statement; HCP confirms "Indice synthetique de fecondite 2,0 - Annee 2024"
Chad | 2009 | RGPH2 census enumeration 20 May-30 Jun 2009 | not stated directly for the ISF table; an adjacent table in the same chapter refers to "ayant procree dans les douze derniers mois precedant le recensement" | 2008.9 | 2009 | inferred | Recensement 2009 "Indicateurs globaux": ISF=7,1 nationally
Chad | 2010 | MICS4, 12 Jan-30 May 2010 | explicit five-year window: "la periode de cinq annees ayant precede l'enquete, soit approximativement, 2006-2010" | 2008.0 | 2008 | documented | MICS4 Tchad 2010 report 8.1.1, ISF=6,9
Chad | 2015 | EDS-MICS 2014-2015, 23 Oct 2014-9 Apr 2015 | "les taux correspondent a la periode 1-36 mois avant l'interview" | 2013.5 | 2014 | documented | Tchad EDS-MICS 2014-2015 Tableau 5.1, ISF=6,4
Chad | 2019 | MICS6, 11 May-13 Dec 2019 | "pour les periodes de trois ans precedant l'enquete" | 2018.2 | 2018 | documented | MICS6-Tchad 2019 Tableau TM.2.1, ISF=6,4
Guinea | 2005 | DHS, 1 Feb-end Jun 2005 | "la periode des trois annees ayant precede l'enquete" | 2003.8 | 2004 | documented | EDSG-III Guinee 2005 Tableau 4.1, ISF=5,7
Guinea | 2012 | DHS, 1 Jun-Oct 2012 | "la periode 1-36 mois avant l'enquete" | 2011.1 | 2011 | documented | Guinee EDS-MICS 2012, ISF=5,1
Guinea | 2018 | DHS, 27 Mar-28 Jun 2018 | "l'Indice Synthetique de Fecondite correspond a la periode de 1-36 mois precedant" | 2016.9 | 2017 | documented | Guinee EDS 2018 (FR353), ISF=4,8
Angola | 2016 | IIMS 2015-16, 19 Oct 2015-15 Mar 2016 | "as taxas sao expressas para o periodo de 1-36 meses antes da entrevista" | 2014.5 | 2015 | documented | Angola IIMS 2015-2016 (FR327) Quadro 5.1, ISF=6,2
Angola | 2024 | IIMS 2023-24, 7 Aug 2023-31 Jan 2024 | "para o periodo de 3 anos anterior ao inquerito" | 2022.3 | 2022 | documented | Angola IIMS 2023-2024 (FR396), TGF=4,8
Somalia | 2020 | SHDS 2020, fieldwork Feb 2018-Jan 2019 per the bureau's microdata catalog | "refer to the three years preceding the survey" | 2017.1 | 2017 | documented | SHDS 2020 final report, TFR=6.9 "for the three years preceding the survey"
