dataset,fao_dataset_title,owid_dataset_title
faostat_ef,"Land, Inputs and Sustainability: Fertilizers indicators - FAO (2021)",Agri-Environmental Indicators: Fertilizers indicators
faostat_ei,Climate Change: Emissions intensities - FAO (2021),Agri-Environmental Indicators: Emissions intensities
faostat_ek,"Land, Inputs and Sustainability: Livestock Patterns - FAO (2021)",Agri-Environmental Indicators: Livestock Patterns
faostat_el,"Land, Inputs and Sustainability: Land use indicators - FAO (2021)",Agri-Environmental Indicators: Land use indicators
faostat_emn,"Land, Inputs and Sustainability: Livestock Manure - FAO (2021)",Agri-Environmental Indicators: Livestock Manure
faostat_ep,"Land, Inputs and Sustainability: Pesticides indicators - FAO (2021)",Agri-Environmental Indicators: Pesticides indicators
faostat_esb,"Land, Inputs and Sustainability: Soil nutrient budget - FAO (2021)","Land, Inputs and Sustainability: Soil nutrient budget - FAO (2021)"
faostat_fa,Discontinued archives and data series: Food Aid Shipments (WFP) - FAO (2016),Discontinued archives and data series: Food Aid Shipments (WFP) - FAO (2016)
faostat_fbsc,"Food Balances (old methodology before 2010, and new from 2010 onwards).",Food Balance: New Food Balances
faostat_fo,Forestry: Forestry Production and Trade - FAO (2021),Forestry: Forestry Production and Trade
faostat_fs,Food Security and Nutrition: Suite of Food Security Indicators - FAO (2022),Food Security: Suite of Food Security Indicators
faostat_lc,"Land, Inputs and Sustainability: Land Cover - FAO (2022)",Agri-Environmental Indicators: Land Cover
faostat_qcl,Production: Crops and livestock products - FAO (2022),Production: Crops and livestock products - FAO (2022)
faostat_qi,Production: Production Indices - FAO (2022),Production: Production Indices
faostat_qv,Production: Value of Agricultural Production - FAO (2022),Production: Value of Agricultural Production
faostat_rfb,"Land, Inputs and Sustainability: Fertilizers by Product - FAO (2021)",Inputs: Fertilizers by Product
faostat_rfn,"Land, Inputs and Sustainability: Fertilizers by Nutrient - FAO (2021)",Inputs: Fertilizers by Nutrient
faostat_rl,"Land, Inputs and Sustainability: Land Use - FAO (2021)",Inputs: Land Use
faostat_rp,"Land, Inputs and Sustainability: Pesticides Use - FAO (2021)",Inputs: Pesticides Use
faostat_rt,"Land, Inputs and Sustainability: Pesticides Trade - FAO (2021)",Inputs: Pesticides Trade
faostat_scl,Food Balances: Supply Utilization Accounts - FAO (2022),Food Balances: Supply Utilization Accounts - FAO (2022)
faostat_sdgb,SDG Indicators: SDG Indicators - FAO (2022),SDG Indicators: SDG Indicators - FAO (2022)
faostat_tcl,Trade: Crops and livestock products - FAO (2022),Trade: Crops and livestock products - FAO (2022)
faostat_ti,Trade: Trade Indices - FAO (2022),Trade: Trade Indices
