item_code,dataset,fao_item,owid_item,fao_item_description,owid_item_description
00002511,faostat_fbsc,Wheat and products,Wheat,"Default composition: 15 Wheat, 16 Flour, wheat, 17 Bran, wheat, 18 Macaroni, 19 Germ, wheat, 20 Bread, 21 Bulgur, 22 Pastry, 23 Starch, wheat, 24 Gluten, wheat, 41 Cereals, breakfast, 110 Wafers, 114 Mixes and doughs, 115 Food preparations, flour, malt extract",
00002513,faostat_fbsc,Barley and products,Barley,"Default composition: 44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract",
00002514,faostat_fbsc,Maize and products,Maize,"Default composition: 56 Maize, 57 Germ, maize, 58 Flour, maize, 59 Bran, maize, 63 Gluten, maize, 64 Starch, maize, 846 Feed and meal, gluten",
00002515,faostat_fbsc,Rye and products,Rye,"Default composition: 71 Rye, 72 Flour, rye, 73 Bran, rye",
00002517,faostat_fbsc,Millet and products,Millet,"Default composition: 79 Millet, 80 Flour, millet, 81 Bran, millet",
00002518,faostat_fbsc,Sorghum and products,Sorghum,"Default composition: 83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum",
00002531,faostat_fbsc,Potatoes and products,Potatoes,"Default composition: 116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes",
00002532,faostat_fbsc,Cassava and products,Cassava,"Default composition: 125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava",
00002546,faostat_fbsc,Beans,"Beans, dry","Default composition: 176 Beans, dry",
00002547,faostat_fbsc,Peas,"Peas, dry","Default composition: 187 Peas, dry",
00002551,faostat_fbsc,Nuts and products,Nuts,"Default composition: 216 Brazil nuts, with shell, 217 Cashew nuts, with shell, 220 Chestnut, 221 Almonds, with shell, 222 Walnuts, with shell, 223 Pistachios, 224 Kola nuts, 225 Hazelnuts, with shell, 226 Areca nuts, 229 Brazil nuts, shelled, 230 Cashew nuts, shelled, 231 Almonds shelled, 232 Walnuts, shelled, 233 Hazelnuts, shelled, 234 Nuts, nes, 235 Nuts, prepared (exc. groundnuts)",
00002555,faostat_fbsc,Soyabeans,Soybeans,"Default composition: 236 Soybeans, 239 Soya sauce, 240 Soya paste, 241 Soya curd",
00002560,faostat_fbsc,Coconuts - Incl Copra,Coconuts,"Default composition: 249 Coconuts, 250 Coconuts, desiccated, 251 Copra",
00002563,faostat_fbsc,Olives (including preserved),Olives,"Default composition: 260 Olives, 262 Olives preserved",
00002571,faostat_fbsc,Soyabean Oil,Soybean oil,"Default composition: 237 Oil, soybean",
00002572,faostat_fbsc,Groundnut Oil,Groundnut oil,"Default composition: 244 Oil, groundnut",
00002573,faostat_fbsc,Sunflowerseed Oil,Sunflower oil,"Default composition: 268 Oil, sunflower",
00002575,faostat_fbsc,Cottonseed Oil,Cottonseed oil,"Default composition: 331 Oil, cottonseed",
00002576,faostat_fbsc,Palmkernel Oil,Palm kernel oil,"Default composition: 258 Oil, palm kernel",
00002578,faostat_fbsc,Coconut Oil,Coconut oil,"Default composition: 252 Oil, coconut (copra)",
00002579,faostat_fbsc,Sesameseed Oil,Sesame oil,"Default composition: 290 Oil, sesame",
00002580,faostat_fbsc,Olive Oil,Olive oil,"Default composition: 261 Oil, olive, virgin, 274 Oil, olive residues",
00002582,faostat_fbsc,Maize Germ Oil,Maize oil,"Default composition: 60 Oil, maize",
00002601,faostat_fbsc,Tomatoes and products,Tomatoes,"Default composition: 388 Tomatoes, 389 Juice, tomato, concentrated, 390 Juice, tomato, 391 Tomatoes, paste, 392 Tomatoes, peeled",
00002611,faostat_fbsc,"Oranges, Mandarines",Oranges,"Default composition: 490 Oranges, 491 Juice, orange, single strength, 492 Juice, orange, concentrated, 495 Tangerines, mandarins, clementines, satsumas, 496 Juice, tangerine",
00002612,faostat_fbsc,"Lemons, Limes and products",Lemons and limes,"Default composition: 497 Lemons and limes, 498 Juice, lemon, single strength, 499 Juice, lemon, concentrated",
00002613,faostat_fbsc,Grapefruit and products,Grapefruit,"Default composition: 507 Grapefruit (inc. pomelos), 509 Juice, grapefruit, 510 Juice, grapefruit, concentrated",
00002617,faostat_fbsc,Apples and products,Apples,"Default composition: 515 Apples, 518 Juice, apple, single strength, 519 Juice, apple, concentrated",
00002618,faostat_fbsc,Pineapples and products,Pineapples,"Default composition: 574 Pineapples, 575 Pineapples canned, 576 Juice, pineapple, 580 Juice, pineapple, concentrated",
00002633,faostat_fbsc,Cocoa Beans and products,Cocoa beans,"Default composition: 661 Cocoa, beans, 662 Cocoa, paste, 665 Cocoa, powder & cake, 666 Chocolate products nes",
00002641,faostat_fbsc,Pimento,Chillies and peppers,"Default composition: 689 Chillies and peppers, dry",
00002731,faostat_fbsc,Bovine Meat,"Meat, beef","Default composition: 867 Meat, cattle, 870 Meat, cattle, boneless (beef & veal), 872 Meat, beef, dried, salted, smoked, 873 Meat, extracts, 874 Meat, beef and veal sausages, 875 Meat, beef, preparations, 876 Meat, beef, canned, 877 Meat, homogenized preparations, 947 Meat, buffalo",
00002732,faostat_fbsc,Mutton & Goat Meat,"Meat, sheep and goat","Default composition: 977 Meat, sheep, 1017 Meat, goat",
00002733,faostat_fbsc,Pigmeat,Pork,"Default composition: 1035 Meat, pig, 1038 Meat, pork, 1039 Bacon and ham, 1041 Meat, pig sausages, 1042 Meat, pig, preparations",
