,0
0,% age 15+
1,% age 15+
2,% age 15+
3,% age 15+
4,% age 15+
5,% age 15+
6,% age 15+
7,% age 15+
8,% age 15+
9,% age 15+
10,% age 15+
11,% age 15+
12,% age 15+
13,% age 15+
14,% age 15+
15,% age 15+
16,% age 15+
17,% age 15+
18,% age 15+
19,% age 15+
20,% age 15+
21,% age 15+
22,% age 15+
23,% age 15+
24,% age 15+
25,% age 15+
26,% age 15+
27,% age 15+
28,% age 15+
29,% age 15+
30,% age 15+
31,% age 15+
32,% age 15+
33,% age 15+
34,% age 15+
35,% age 15+
36,% age 15+
37,% age 15+
38,% age 15+
39,% age 15+
40,% age 15+
41,% age 15+
42,% age 15+
43,% age 15+
44,% age 15+
45,% age 15+
46,% age 15+
47,% age 15+
48,% age 15+
49,% age 15+
50,% age 15+
51,% age 15+
52,% age 15+
53,% age 15+
54,% age 15+
55,% age 15+
56,% age 15+
57,% age 15+
58,% age 15+
59,% age 15+
60,% age 15+
61,% age 15+
62,% age 15+
63,% age 15+
64,% age 15+
65,% age 15+
66,% age 15+
67,% age 15+
68,% age 15+
69,"% able to raise funds, age 15+"
70,"% able to raise funds, age 15+"
71,"% able to raise funds, age 15+"
72,"% able to raise funds, age 15+"
73,"% able to raise funds, age 15+"
74,"% able to raise funds, age 15+"
75,"% able to raise funds, age 15+"
76,"% able to raise funds, age 15+"
77,"% able to raise funds, age 15+"
78,"% able to raise funds, age 15+"
79,"% able to raise funds, age 15+"
80,"% able to raise funds, age 15+"
81,"% able to raise funds, age 15+"
82,"% able to raise funds, age 15+"
83,"% able to raise funds, age 15+"
84,"% able to raise funds, age 15+"
85,"% able to raise funds, age 15+"
86,"% able to raise funds, age 15+"
87,% age 15+
88,% age 15+
89,% age 15+
90,% age 15+
91,% age 15+
92,% age 15+
93,% age 15+
94,% age 15+
95,% age 15+
96,% age 15+
97,% age 15+
98,% age 15+
99,% age 15+
100,% age 15+
101,% age 15+
102,% age 15+
103,% age 15+
104,% age 15+
105,% age 15+
106,% age 15+
107,% age 15+
108,% age 15+
109,% age 15+
110,"% with an account, age 15+"
111,% age 15+
112,% age 15+
113,% age 15+
114,% age 15+
115,% age 15+
116,% age 15+
117,% age 15+
118,% age 15+
119,% age 15+
120,% age 15+
121,% age 15+
122,% age 15+
123,annual %
124,% of population ages 15+
125,% of population ages 15+
126,% of population ages 15+
127,% age 15+
128,% age 15+
129,% age 15+
130,% age 15+
131,% age 15+
132,% age 15+
133,% age 15+
134,% age 15+
135,% age 15+
136,
137,
138,
139,years
140,years
141,years
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,% of firms
164,% of firms
165,% of GNI per capita
166,% of GNI per capita
167,% of GNI per capita
168,days
169,days
170,days
171,
172,
173,
174,
175,% of total directors
176,
177,% of total directors
178,
179,% of total business owners
180,
181,% of total business owners
182,
183,% of sole proprietors
184,
185,% of sole proprietors
186,% age 15+
187,% age 15+
188,% age 15+
189,current US$
190,annual %
191,current US$
192,constant 2015 US$
193,current US$
194,current US$
195,current international $
196,% of females ages 15-24
197,
198,% of males ages 15-24
199,% of people ages 15-24
200,% of females ages 15 and above
201,% of males ages 15 and above
202,% of people ages 15 and above
203,
204,
205,
206,
207,%
208,%
209,%
210,%
211,%
212,%
213,%
214,%
215,% gross
216,% gross
217,% gross
218,
219,
220,
221,% of relevant age group
222,% of relevant age group
223,% of relevant age group
224,%
225,%
226,%
227,% female
228,% gross
229,% gross
230,% gross
231,% of relevant age group
232,% net
233,% net
234,% net
235,% of official school-age population
236,% of official school-age population
237,% of official school-age population
238,% of cohort
239,% of cohort
240,% female
241,% of primary school age children
242,% of primary school age children
243,% of primary school age children
244,
245,
246,
247,% of primary school age
248,years
249,years
250,years
251,% of relevant age group
252,% of relevant age group
253,% of relevant age group
254,%
255,%
256,%
257,%
258,%
259,%
260,%
261,%
262,%
263,% of total secondary enrolment
264,% female
265,%
266,
267,% female
268,% of total secondary enrolment
269,% gross
270,% gross
271,% gross
272,% net
273,% net
274,% net
275,%
276,%
277,%
278,% female
279,%
280,%
281,%
282,%
283,%
284,%
285,%
286,%
287,%
288,%
289,%
290,%
291,%
292,%
293,%
294,% gross
295,% gross
296,% gross
297,%
298,%
299,%
300,%
301,%
302,%
303,%
304,%
305,%
306,%
307,% female
308,% of GDP per capita
309,% of GDP per capita
310,% of GDP
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,% of households
325,% of households
326,% of households
327,% of households
328,% of households
329,% of households
330,% of households
331,% of households
332,% of households
333,% of households
334,% of households
335,
336,% of women age 15-49
337,% of women age 15-49
338,% of women age 15-49
339,% of women age 15-49
340,% of women age 15-49
341,% of women age 15-49
342,% of women age 15-49
343,% of women age 15-49
344,% of women age 15-49
345,% of women age 15-49
346,% of women age 15-49
347,% of women age 15-49
348,% of women age 15-49
349,% of women age 15-49
350,% of women age 15-49
351,% of women age 15-49
352,% of women age 15-49
353,% of women age 15-49
354,% of women age 15-49
355,% of women age 15-49
356,% of women age 15-49
357,% of women age 15-49
358,% of women age 15-49
359,
360,
361,%
362,%
363,% of total
364,
365,%
366,%
367,%
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,% of women and girls ages 15-49 living in rural areas who had a menstrual period within the last year
